order_id,datetime,dish_ids,dish_names,prep_times,quantities,total_time
1,2025-05-22 23:42,"[17, 11, 6, 1]","['Catalan Cream', 'Sautéed spanish Sausage and Mushrooms', 'Seafood Soup', 'Risotto']","[40, 30, 55, 30]","[1, 1, 2, 2]",59
2,2025-05-25 23:42,"[7, 10, 15, 4]","['Beef steaks with strawberry sauce', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Chilled Raspberry Crumble', 'Macaroni with Tomato and Chorizo']","[30, 30, 25, 25]","[2, 1, 1, 3]",35
3,2025-05-14 23:42,"[2, 4, 5, 12, 8]","['Spaghetti carbonara', 'Macaroni with Tomato and Chorizo', 'Warm Salad with Baby Eels and King Prawns', 'Mediterranean Lamb Burger', 'Almond chicken strips with lemon sauce']","[25, 25, 20, 30, 25]","[1, 1, 2, 3, 3]",38
4,2025-05-28 23:42,"[22, 16]","['Fanta Orange', 'Fresh Fruit Dessert']","[1, 15]","[3, 1]",21
5,2025-06-02 23:42,"[10, 19]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Sparkling Water']","[30, 1]","[1, 2]",39
6,2025-05-20 23:42,[23],['Espresso'],[5],[2],10
7,2025-05-31 23:42,"[24, 5]","['Coffee with Milk', 'Warm Salad with Baby Eels and King Prawns']","[5, 20]","[3, 2]",28
8,2025-05-29 23:42,[2],['Spaghetti carbonara'],[25],[1],29
9,2025-06-06 23:42,"[19, 9, 10]","['Sparkling Water', 'Meatballs in Spanish Sauce', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[1, 30, 30]","[2, 3, 3]",36
10,2025-05-30 23:42,[4],['Macaroni with Tomato and Chorizo'],[25],[2],28
11,2025-05-25 23:42,"[9, 8, 14, 24]","['Meatballs in Spanish Sauce', 'Almond chicken strips with lemon sauce', 'Lemon Sorbet with Cava', 'Coffee with Milk']","[30, 25, 5, 5]","[1, 2, 2, 2]",37
12,2025-05-31 23:42,"[13, 1, 21, 8, 23]","['Chocolate Lava Cake', 'Risotto', 'Coca-Cola', 'Almond chicken strips with lemon sauce', 'Espresso']","[25, 30, 1, 25, 5]","[1, 3, 1, 2, 3]",34
13,2025-06-06 23:42,"[2, 8, 5]","['Spaghetti carbonara', 'Almond chicken strips with lemon sauce', 'Warm Salad with Baby Eels and King Prawns']","[25, 25, 20]","[3, 3, 1]",33
14,2025-05-16 23:42,"[3, 15, 23, 17, 2]","['Caesar salad', 'Chilled Raspberry Crumble', 'Espresso', 'Catalan Cream', 'Spaghetti carbonara']","[30, 25, 5, 40, 25]","[1, 2, 1, 2, 3]",46
15,2025-05-27 23:42,"[10, 12, 17, 5]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Mediterranean Lamb Burger', 'Catalan Cream', 'Warm Salad with Baby Eels and King Prawns']","[30, 30, 40, 20]","[1, 2, 1, 3]",47
16,2025-05-22 23:42,"[1, 3]","['Risotto', 'Caesar salad']","[30, 30]","[3, 3]",39
17,2025-05-25 23:42,"[4, 23, 3, 7]","['Macaroni with Tomato and Chorizo', 'Espresso', 'Caesar salad', 'Beef steaks with strawberry sauce']","[25, 5, 30, 30]","[3, 3, 3, 1]",39
18,2025-05-17 23:42,"[2, 12, 23, 18, 15]","['Spaghetti carbonara', 'Mediterranean Lamb Burger', 'Espresso', 'Layered Banana Dessert', 'Chilled Raspberry Crumble']","[25, 30, 5, 15, 25]","[3, 2, 1, 3, 3]",38
19,2025-05-29 23:42,"[10, 11, 16]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Sautéed spanish Sausage and Mushrooms', 'Fresh Fruit Dessert']","[30, 30, 15]","[1, 2, 1]",39
20,2025-05-23 23:42,"[18, 23, 21]","['Layered Banana Dessert', 'Espresso', 'Coca-Cola']","[15, 5, 1]","[1, 2, 2]",25
21,2025-05-31 23:42,"[9, 15, 13, 14, 18]","['Meatballs in Spanish Sauce', 'Chilled Raspberry Crumble', 'Chocolate Lava Cake', 'Lemon Sorbet with Cava', 'Layered Banana Dessert']","[30, 25, 25, 5, 15]","[3, 1, 3, 1, 1]",36
22,2025-05-23 23:42,"[24, 17]","['Coffee with Milk', 'Catalan Cream']","[5, 40]","[3, 1]",47
23,2025-05-20 23:42,"[12, 16]","['Mediterranean Lamb Burger', 'Fresh Fruit Dessert']","[30, 15]","[2, 3]",39
24,2025-05-22 23:42,[5],['Warm Salad with Baby Eels and King Prawns'],[20],[2],23
25,2025-05-31 23:42,"[2, 12, 4, 17]","['Spaghetti carbonara', 'Mediterranean Lamb Burger', 'Macaroni with Tomato and Chorizo', 'Catalan Cream']","[25, 30, 25, 40]","[2, 1, 1, 3]",43
26,2025-05-27 23:42,"[11, 9, 15, 5, 3]","['Sautéed spanish Sausage and Mushrooms', 'Meatballs in Spanish Sauce', 'Chilled Raspberry Crumble', 'Warm Salad with Baby Eels and King Prawns', 'Caesar salad']","[30, 30, 25, 20, 30]","[3, 1, 1, 1, 1]",35
